Species	PFT
Abacopteris nudata	(fern)
Abarema cochliacarpos	(tree)
Abarema species	not assigned
Abatia parviflora	(shrub/tree)
Abelia chinensis	(shrub)
Abelia macrotera	(shrub)
Abelia triflora	(shrub/tree)
Abeliophyllum distichum	(shrub)
Abelmoschus crinitus	forb
Abelmoschus esculentus	forb
Abelmoschus ficulneus	(shrub)
Abelmoschus manihot	forb
Abelmoschus moschatus	forb
Abies alba	(tree)
Abies amabilis	(tree)
Abies balsamea	(tree)
Abies borisii-regis	(tree)
Abies bracteata	(tree)
Abies cephalonica	(tree)
Abies chensiensis	(tree)
Abies cilicica	(tree)
Abies concolor	(tree)
Abies delavayi	(tree)
Abies densa	(tree)
Abies fabri	(tree)
Abies fargesii	(tree)
Abies firma	(tree)
Abies forrestii	(tree)
Abies fraseri	(tree)
Abies grandis	(tree)
Abies guatemalensis	(tree)
Abies holophylla	(tree)
Abies homolepis	(tree)
Abies kawakamii	(tree)
Abies koreana	(tree)
Abies lasiocarpa	(tree)
Abies magnifica	(tree)
Abies mariesii	(tree)
Abies nebrodensis	(tree)
Abies nephrolepis	(tree)
Abies nordmanniana	(tree)
Abies numidica	(tree)
Abies pindrow	(tree)
Abies pinsapo	(tree)
Abies procera	(tree)
Abies recurvata	(tree)
Abies religiosa	(tree)
Abies sachalinensis	(tree)
Abies sibirica	(tree)
Abies spectabilis	(tree)
Abies squamata	(tree)
Abies veitchii	(tree)
Abies vejarii	(tree)
Abildgaardia macrantha	grass
Abildgaardia ovata	grass
Abildgaardia oxystachya	grass
Abildgaardia schoenoides	grass
Abildgaardia triflora	grass
Abiu caramuri	(tree)
Abrahamia ditimena	(tree)
Abrahamia sericea	(tree)
Abrahamia viguieri	(shrub/tree)
Abrodictyum caudatum	(fern)
Abrodictyum elongatum	(fern)
Abroma augustum	(shrub)
Abronia ameliae	forb
Abronia fragrans	forb
Abronia latifolia	forb
Abronia maritima	forb
Abronia pogonantha	forb
Abronia turbinata	forb
Abronia umbellata	forb
Abronia villosa	forb
Abrophyllum ornans	(shrub/tree)
Abrus canescens	(shrub)
Abrus laevigatus	(legume?)
Abrus precatorius	(shrub)
Abrus pulchellus	(shrub)
Abrus schimperi	(shrub)
Abuta grandifolia	(tree)
Abuta grisebachii	not assigned
Abuta imene	not assigned
Abuta pahni	not assigned
Abuta panamensis	(tree)
Abuta racemosa	not assigned
Abuta rufescens	forb
Abuta solimoesensis	not assigned
Abuta velutina	(shrub/tree)
Abutilon abutiloides	conflicting (forb vs. shrub)
Abutilon angulatum	conflicting (forb vs. shrub)
Abutilon auritum	(shrub)
Abutilon austroafricanum	conflicting (forb vs. shrub)
Abutilon bidentatum	(shrub)
Abutilon bivalve	not assigned
Abutilon cryptopetalum	conflicting (forb vs. shrub)
Abutilon dugesii	(shrub)
Abutilon englerianum	(shrub)
Abutilon eremitopetalum	(shrub)
Abutilon fraseri	(shrub)
Abutilon fruticosum	conflicting (forb vs. shrub)
Abutilon glabriflorum	(shrub)
Abutilon grandiflorum	conflicting (forb vs. shrub)
Abutilon grantii	conflicting (forb vs. shrub)
Abutilon greveanum	(shrub)
Abutilon guineense	(shrub)
Abutilon hirtum	conflicting (forb vs. shrub)
Abutilon incanum	conflicting (forb vs. shrub)
Abutilon indicum	(shrub)
Abutilon lauraster	conflicting (forb vs. shrub)
Abutilon lepidum	(shrub)
Abutilon leucopetalum	(shrub)
Abutilon longicuspe	(shrub)
Abutilon mauritianum	conflicting (forb vs. shrub)
Abutilon menziesii	(shrub)
Abutilon mitchellii	(shrub)
Abutilon mollissimum	(shrub)
Abutilon otocarpum	(shrub)
Abutilon oxycarpum	(shrub)
Abutilon pannosum	conflicting (forb vs. shrub)
Abutilon parvulum	forb
Abutilon pseudocleistogamum	(shrub)
Abutilon pycnodon	conflicting (forb vs. shrub)
Abutilon ramosum	conflicting (forb vs. shrub)
Abutilon reflexum	(shrub)
Abutilon rehmannii	(shrub)
Abutilon sandwicense	(shrub)
Abutilon sonneratianum	(shrub)
Abutilon species	not assigned
Abutilon theophrasti	forb
Abutilon trisulcatum	(shrub)
Abutilon viscosum	conflicting (forb vs. shrub)
Acacia acanthoclada	(shrub)
Acacia acinacea	(shrub)
Acacia acradenia	(shrub/tree)
Acacia acrionastes	(tree)
Acacia aculeatissima	(shrub)
Acacia acuminata	(shrub/tree)
Acacia adoxa	(shrub)
Acacia adsurgens	(shrub)
Acacia adunca	(shrub/tree)
Acacia aestivalis	(shrub/tree)
Acacia alata	(shrub)
Acacia alcockii	(shrub)
Acacia alleniana	(tree)
Acacia amblygona	(shrub)
Acacia ammobia	(tree)
Acacia amoena	(tree)
Acacia ampliceps	(tree)
Acacia anceps	(shrub)
Acacia ancistrocarpa	(tree)
Acacia aneura	(shrub/tree)
Acacia anfractuosa	(tree)
Acacia anthochaera	(shrub/tree)
Acacia aphylla	(shrub)
Acacia aprica	(shrub)
Acacia argyrophylla	(tree)
Acacia ascendens	(tree)
Acacia asepala	(shrub)
Acacia aspera	(tree)
Acacia assimilis	(tree)
Acacia atkinsiana	(tree)
Acacia aulacocarpa	(tree)
Acacia aureocrinita	(shrub)
Acacia auriculiformis	(tree)
Acacia ausfeldii	(tree)
Acacia baeuerlenii	(shrub)
Acacia baileyana	(tree)
Acacia bakeri	(tree)
Acacia bancroftiorum	(shrub/tree)
Acacia barringtonensis	(shrub)
Acacia baueri	(tree)
Acacia beadleana	(shrub)
Acacia beauverdiana	(tree)
Acacia beckleri	(tree)
Acacia betchei	(tree)
Acacia bifaria	(tree)
Acacia binervata	(shrub/tree)
Acacia binervia	(tree)
Acacia bivenosa	(tree)
Acacia blakei	(tree)
Acacia blakelyi	(tree)
Acacia blayana	(tree)
Acacia boormanii	(tree)
Acacia botrydion	(tree)
Acacia brachybotrya	(shrub)
Acacia brachystachya	(tree)
Acacia brassii	(tree)
Acacia browniana	(tree)
Acacia brownii	(shrub)
Acacia brumalis	(tree)
Acacia brunioides	(shrub)
Acacia bulgaensis	(shrub/tree)
Acacia burbidgeae	(tree)
Acacia burkittii	(shrub/tree)
Acacia burrowii	(shrub/tree)
Acacia buxifolia	(tree)
Acacia caerulescens	(tree)
Acacia caesariata	(shrub)
Acacia caesiella	(shrub/tree)
Acacia calamifolia	(tree)
Acacia calcicola	(tree)
Acacia calyculata	(shrub)
Acacia cambagei	(tree)
Acacia campylophylla	(shrub)
Acacia cana	(shrub)
Acacia cangaiensis	(shrub/tree)
Acacia cardiophylla	(tree)
Acacia carens	(shrub)
Acacia caroleae	(shrub/tree)
Acacia catenulata	(tree)
Acacia cedroides	(shrub)
Acacia celastrifolia	(shrub)
Acacia celsa	(tree)
Acacia cerastes	(shrub)
Acacia chalkeri	(tree)
Acacia chapmanii	(tree)
Acacia cheelii	(shrub/tree)
Acacia chisholmii	(tree)
Acacia chrysotricha	(tree)
Acacia cincinnata	(tree)
Acacia citrinoviridis	(tree)
Acacia clandullensis	(tree)
Acacia clydonophora	(tree)
Acacia cognata	(shrub/tree)
Acacia colei	(shrub/tree)
Acacia colletioides	(shrub)
Acacia complanata	(tree)
Acacia concurrens	(tree)
Acacia conferta	(shrub/tree)
Acacia confusa	(tree)
Acacia congesta	(tree)
Acacia constablei	(tree)
Acacia continua	(tree)
Acacia coolgardiensis	(tree)
Acacia coriacea	(shrub/tree)
Acacia cornigera	(tree)
Acacia costiniana	(shrub)
Acacia coulteri	(tree)
Acacia courtii	(tree)
Acacia cowleana	(tree)
Acacia craspedocarpa	(tree)
Acacia crassa	(shrub/tree)
Acacia crassicarpa	(tree)
Acacia crassiuscula	(tree)
Acacia cremiflora	(shrub)
Acacia crenulata	(shrub/tree)
Acacia cretacea	(shrub/tree)
Acacia cultriformis	(shrub/tree)
Acacia cuneifolia	(shrub)
Acacia cupularis	(shrub)
Acacia curranii	(tree)
Acacia cuthbertsonii	(shrub/tree)
Acacia cyclops	(shrub/tree)
Acacia cyperophylla	(tree)
Acacia dallachiana	(tree)
Acacia dawsonii	(tree)
Acacia dealbata	(shrub/tree)
Acacia deanei	(tree)
Acacia decora	(shrub)
Acacia decurrens	(tree)
Acacia deficiens	(tree)
Acacia desmondii	(tree)
Acacia dictyoneura	(tree)
Acacia dictyophleba	(tree)
Acacia difficilis	(tree)
Acacia difformis	(tree)
Acacia dimidiata	(shrub/tree)
Acacia disparrima	(tree)
Acacia disticha	(tree)
Acacia dodonaeifolia	(tree)
Acacia doratoxylon	(shrub/tree)
Acacia drepanophylla	(tree)
Acacia drummondii	(tree)
Acacia dunnii	(tree)
Acacia durabilis	(shrub)
Acacia duriuscula	(shrub/tree)
Acacia echinula	(tree)
Acacia effusa	(shrub)
Acacia elachantha	(shrub)
Acacia elata	(tree)
Acacia elongata	(tree)
Acacia empelioclada	(shrub)
Acacia enterocarpa	(shrub)
Acacia eremophila	(shrub)
Acacia erinacea	(shrub)
Acacia eriopoda	(tree)
Acacia errabunda	(tree)
Acacia estrophiolata	(tree)
Acacia euthycarpa	(tree)
Acacia excelsa	(tree)
Acacia extensa	(tree)
Acacia falcata	(shrub)
Acacia falciformis	(tree)
Acacia farinosa	(shrub)
Acacia fasciculifera	(tree)
Acacia ferruginea	(tree)
Acacia filicifolia	(tree)
Acacia filifolia	(tree)
Acacia fimbriata	(shrub/tree)
Acacia flabellifolia	(shrub)
Acacia flavescens	(tree)
Acacia flexifolia	(tree)
Acacia flocktoniae	(tree)
Acacia floribunda	(shrub/tree)
Acacia floydii	(shrub/tree)
Acacia fragilis	(shrub)
Acacia frigescens	(shrub/tree)
Acacia fulva	(tree)
Acacia galeata	(shrub/tree)
Acacia genistifolia	(shrub/tree)
Acacia georgensis	(shrub/tree)
Acacia georginae	(tree)
Acacia gillii	(shrub/tree)
Acacia gladiiformis	(tree)
