Species	PFT
	not found
Acer	not assigned (tree)
Acer campestre	not assigned (tree)
Acer negundo	not assigned (tree)
Acer platanoides	not assigned (tree)
Acer pseudoplatanus	not assigned (tree)
Achillea millefolium	forb
Agrimonia eupatoria	forb
Agrostis capillaris	grass
Allium	forb
Allium vineale	forb
Alopecurus pratensis	grass
Anthemis arvensis	forb
Anthoxanthum odoratum	grass
Anthriscus sylvestris	forb
Apiaceae	forb
Arabidopsis thaliana	forb
Arenaria serpyllifolia	forb
Arrhenatherum elatius	grass
Artemisia vulgaris	forb
Asteraceae	forb
Avena sativa	grass
Avenula pubescens	grass
Bellis perennis	forb
Betonica officinalis	forb
Betula	not found
Borago officinalis	forb
Brachypodium pinnatum	grass
Brassica napus	forb
Brassica oleracea	forb
Brassicaceae	forb
Bromus erectus	grass
Bromus hordeaceus	grass
Bromus sterilis	grass
Calamagrostis epigejos	grass
Campanula patula	forb
Campanula rapunculoides	forb
Campanula rotundifolia	forb
Capsella bursa-pastoris	forb
Carduus acanthoides	forb
Carduus crispus	forb
Carum carvi	forb
Centaurea jacea	forb
Centaurea scabiosa	forb
Cerastium glomeratum	forb
Cerastium holosteoides	forb
Chenopodium album	forb
Cichorium intybus	forb
Cirsium arvense	forb
Cirsium vulgare	forb
Clematis vitalba	forb
Colchicum autumnale	forb
Convolvulus arvensis	forb
Cornus sanguinea	not assigned
Coronilla varia	legume
Crataegus monogyna	not assigned (shrub/tree)
Crepis biennis	forb
Crepis capillaris	forb
Cynosurus cristatus	grass
Dactylis glomerata	grass
Daucus carota	forb
Descurainia sophia	forb
Dianthus carthusianorum	forb
Dianthus seguieri	forb
Draba	forb
Elymus repens	grass
Epilobium tetragonum	forb
Equisetum arvense	not assigned (fern)
Erigeron acris	forb
Erigeron annuus	forb
Erigeron canadensis	forb
Erodium cicutarium	forb
Eryngium campestre	forb
Falcaria vulgaris	forb
Fallopia convolvulus	forb
Festuca	grass
Festuca ovina	grass
Festuca rubra	grass
Festuca rupicola	grass
Festulolium	not found
Filipendula ulmaria	forb
Filipendula vulgaris	forb
Fraxinus excelsior	not assigned (tree)
Fumaria officinalis	forb
Galium album	forb
Galium aparine	forb
Galium mollugo	forb
Galium pomeranicum	forb
Galium verum	forb
Geranium	forb
Geranium molle	forb
Geranium pratense	forb
Geranium pusillum	forb
Geranium pyrenaicum	forb
Geranium rotundifolium	forb
Geum urbanum	forb
Glechoma hederacea	forb
Helictotrichon pratense	grass
Heracleum sphondylium	forb
Holcus lanatus	grass
Hypericum perforatum	forb
Hypochaeris radicata	forb
Knautia arvensis	forb
Koeleria macrantha	grass
Lactuca serriola	forb
Lamium amplexicaule	forb
Lamium purpureum	forb
Lapsana communis	forb
Lathyrus pratensis	legume
Lathyrus tuberosus	legume
Leontodon autumnalis	forb
Leontodon hispidus	forb
Leucanthemum vulgare	forb
Linaria vulgaris	forb
Lolium multiflorum	grass
Lolium perenne	grass
Lotus corniculatus	legume
Lotus pedunculatus	legume
Lysimachia arvensis	forb
Lysimachia nummularia	forb
Malva sylvestris	forb
Medicago	legume
Medicago falcata	legume
Medicago lupulina	legume
Medicago varia	legume
Melampyrum pratense	forb
Myosotis arvensis	forb
Noccaea perfoliata	forb
Papaver rhoeas	forb
Pastinaca sativa	forb
Petrorhagia prolifera	forb
Phleum pratense	grass
Picris hieracioides	forb
Pilosella officinarum	forb
Pimpinella saxifraga	forb
Plantago lanceolata	forb
Plantago major	forb
Plantago media	forb
Poa angustifolia	grass
Poa annua	grass
Poa bulbosa	grass
Poa pratensis	grass
Poa trivialis	grass
Poaceae	grass
Polygonum aviculare	forb
Populus canadensis	not assigned
Potentilla argentea	forb
Poterium sanguisorba	forb
Prunella vulgaris	forb
Prunus	not assigned
Prunus avium	not assigned (tree)
Prunus mahaleb	not assigned (shrub/tree)
Ranunculus acris	forb
Ranunculus auricomus	forb
Ranunculus bulbosus	forb
Ranunculus repens	forb
Rhinanthus minor	forb
Rubus	not assigned
Rubus caesius	not assigned (shrub)
Rubus idaeus	not assigned (shrub)
Rumex crispus	forb
Salvia pratensis	forb
Sambucus nigra	not assigned (shrub/tree)
Saxifraga granulata	forb
Scabiosa ochroleuca	forb
Senecio	not assigned (herb/shrub)
Senecio jacobaea	forb
Senecio vernalis	forb
Senecio vulgaris	forb
Seseli libanotis	forb
Setaria viridis	grass
Silaum silaus	forb
Silene flos-cuculi	forb
Silene latifolia	forb
Silene noctiflora	forb
Silene nutans	forb
Silene vulgaris	forb
Sinapis arvensis	forb
Solanum tuberosum	forb
Solidago canadensis	forb
Sonchus arvensis	forb
Sonchus asper	forb
Sonchus oleraceus	forb
Stachys recta	forb
Stellaria graminea	forb
Stellaria media	forb
Tanacetum vulgare	forb
Taraxacum officinale	forb
Thlaspi arvense	forb
Tragopogon dubius	forb
Tragopogon orientalis	not assigned ()
Tragopogon pratensis	forb
Trifolium arvense	legume
Trifolium campestre	legume
Trifolium dubium	legume
Trifolium hybridum	legume
Trifolium pratense	legume
Trifolium repens	legume
Tripleurospermum inodorum	forb
Trisetum flavescens	grass
Triticum	grass
Tussilago farfara	forb
Urtica urens	forb
Verbascum lychnitis	forb
Verbascum thapsus	forb
Veronica agrestis	forb
Veronica arvensis	forb
Veronica chamaedrys	forb
Veronica hederifolia	forb
Veronica persica	forb
Veronica serpyllifolia	forb
Vicia	legume
Vicia cracca	legume
Vicia hirsuta	legume
Vicia sativa	legume
Vicia sepium	legume
Vicia tetrasperma	legume
Vicia villosa	legume
Viola arvensis	forb
